"Das Buch war absolut fesselnd und ich konnte nicht aufhören zu lesen!","positive"
"Der Film war enttäuschend und hat meine Erwartungen nicht erfüllt.","negative"
"Die Qualität des Produkts ist hervorragend und übertrifft meine Erwartungen.","positive"
"Der Kundenservice war unfreundlich und unkooperativ.","negative"
"Das Restaurant bietet eine großartige Auswahl an Gerichten und exzellenten Service.","positive"
"Der Artikel kam beschädigt an und musste zurückgesendet werden.","negative"
"Die Schauspieler waren brillant und haben großartige Leistungen gezeigt.","positive"
"Das Hotelzimmer war schmutzig und ungemütlich.","negative"
"Das Produkt erfüllt alle meine Anforderungen und ist von hoher Qualität.","positive"
"Der Kundensupport war schnell und hilfreich.","positive"
"Der Film war langweilig und vorhersehbar.","negative"
"Die Lieferung war pünktlich und das Produkt gut verpackt.","positive"
"Der Kundenservice war inkompetent und konnte meine Probleme nicht lösen.","negative"
"Das Essen im Restaurant war köstlich und der Service aufmerksam.","positive"
"Das Produkt war defekt und musste zurückgegeben werden.","negative"
"Der Kundenservice war freundlich und hilfsbereit.","positive"
"Der Film hatte eine spannende Handlung und war gut inszeniert.","positive"
"Das Paket kam beschädigt an und der Inhalt war unvollständig.","negative"
"Das Hotel war dreckig und der Service mangelhaft.","negative"
